name,description,image_url,price,rating,calories,protein,categories
Classic Cheeseburger,"Beef patty, cheese, lettuce, tomato",https://static.vecteezy.com/system/resources/previews/044/844/600/large_2x/homemade-fresh-tasty-burger-with-meat-and-cheese-classic-cheese-burger-and-vegetable-ai-generated-free-png.png,25.99,4.5,550,25,Burgers
Pepperoni Pizza,"Loaded with cheese and pepperoni slices",https://static.vecteezy.com/system/resources/previews/023/742/417/large_2x/pepperoni-pizza-isolated-illustration-ai-generative-free-png.png,30.99,4.7,700,30,Pizzas
Bean Burrito,"Stuffed with beans, rice, salsa",https://static.vecteezy.com/system/resources/previews/055/133/581/large_2x/deliciously-grilled-burritos-filled-with-beans-corn-and-fresh-vegetables-served-with-lime-wedge-and-cilantro-isolated-on-transparent-background-free-png.png,20.99,4.2,480,18,Burritos
BBQ Bacon Burger,"Smoky BBQ sauce, crispy bacon, cheddar",https://static.vecteezy.com/system/resources/previews/060/236/245/large_2x/a-large-hamburger-with-cheese-onions-and-lettuce-free-png.png,27.5,4.8,650,29,Burgers
Chicken Caesar Wrap,"Grilled chicken, lettuce, Caesar dressing",https://static.vecteezy.com/system/resources/previews/048/930/603/large_2x/caesar-wrap-grilled-chicken-isolated-on-transparent-background-free-png.png,21.5,4.4,490,28,Wraps
Grilled Veggie Sandwich,"Roasted veggies, pesto, cheese",https://static.vecteezy.com/system/resources/previews/047/832/012/large_2x/grilled-sesame-seed-bread-veggie-sandwich-with-tomato-and-onion-free-png.png,19.99,4.1,420,19,Sandwiches
Double Patty Burger,"Two juicy beef patties and cheese",https://static.vecteezy.com/system/resources/previews/060/359/627/large_2x/double-cheeseburger-with-lettuce-tomatoes-cheese-and-sesame-bun-free-png.png,32.99,4.9,720,35,Burgers
Paneer Tikka Wrap,"Spicy paneer, mint chutney, veggies",https://static.vecteezy.com/system/resources/previews/057/913/530/large_2x/delicious-wraps-a-tantalizing-array-of-wraps-filled-with-vibrant-vegetables-succulent-fillings-and-fresh-ingredients-artfully-arranged-for-a-mouthwatering-culinary-experience-free-png.png,23.99,4.6,470,20,Wraps
Mexican Burrito Bowl,"Rice, beans, corn, guac, salsa",https://static.vecteezy.com/system/resources/previews/057/466/374/large_2x/healthy-quinoa-bowl-with-avocado-tomato-and-black-beans-ingredients-free-png.png,26.49,4.7,610,24,Bowls
Spicy Chicken Sandwich,"Crispy chicken, spicy sauce, pickles",https://static.vecteezy.com/system/resources/previews/051/814/008/large_2x/a-grilled-chicken-sandwich-with-lettuce-and-tomatoes-free-png.png,24.99,4.3,540,26,Sandwiches
Classic Margherita Pizza,"Tomato, mozzarella, fresh basil",https://static.vecteezy.com/system/resources/previews/058/700/845/large_2x/free-isolated-on-transparent-background-delicious-pizza-topped-with-fresh-tomatoes-basil-and-melted-cheese-perfect-for-food-free-png.png,26.99,4.1,590,21,Pizzas
Protein Power Bowl,"Grilled chicken, quinoa, veggies",https://static.vecteezy.com/system/resources/previews/056/106/379/large_2x/top-view-salad-with-chicken-avocado-tomatoes-and-lettuce-free-png.png,29.99,4.8,580,38,Bowls
Paneer Burrito,"Paneer cubes, spicy masala, rice, beans",https://static.vecteezy.com/system/resources/previews/056/565/254/large_2x/burrito-with-cauliflower-and-vegetables-free-png.png,24.99,4.2,510,22,Burritos
Chicken Club Sandwich,"Grilled chicken, lettuce, cheese, tomato",https://static.vecteezy.com/system/resources/previews/060/364/135/large_2x/a-flavorful-club-sandwich-with-turkey-bacon-and-fresh-vegetables-sliced-and-isolated-on-a-transparent-background-free-png.png,27.49,4.5,610,31,Sandwiches
